#{"t_start": 1766172363.9124959, "env_id": "None"}
r,l,t
-10.0,11,14.609695
-10.0,11,14.616056
-10.0,11,14.62221
-10.0,11,14.62834
-10.0,11,14.634611
-10.0,11,14.640761
-10.0,11,14.647011
-10.0,11,14.65318
-10.0,11,14.659262
-10.0,11,14.669046
-10.0,3,28.147636
-10.0,3,28.150153
-10.0,3,28.152564
-10.0,3,28.154939
-10.0,3,28.157289
-10.0,3,28.159643
-10.0,3,28.162019
-10.0,3,28.164437
-10.0,3,28.166756
-10.0,3,28.168496
-10.0,5,42.7556
-10.0,5,42.759018
-10.0,5,42.762486
-10.0,5,42.765891
-10.0,5,42.769141
-10.0,5,42.772264
-10.0,5,42.777628
-10.0,5,42.780678
-10.0,5,42.78366
-10.0,5,42.786658
-10.0,5,56.251853
-10.0,5,56.254771
-10.0,5,56.258144
-10.0,5,56.261004
-10.0,5,56.263855
-10.0,5,56.266677
-10.0,5,56.26952
-10.0,5,56.272575
-10.0,5,56.275449
-10.0,5,56.278354
-10.0,3,70.589904
-10.0,3,70.593638
-10.0,3,70.597014
-10.0,3,70.601181
-10.0,3,70.605824
-10.0,3,70.61069
-10.0,3,70.615289
-10.0,3,70.618582
-10.0,3,70.620685
-10.0,3,70.623128
-10.0,3,84.275504
-10.0,3,84.277251
-10.0,3,84.278976
-10.0,3,84.280797
-10.0,3,84.282511
-10.0,3,84.284498
-10.0,3,84.286237
-10.0,3,84.287983
-10.0,3,84.289713
-10.0,3,84.291438
-10.0,3,97.768977
-10.0,3,97.771627
-10.0,3,97.774232
-10.0,3,97.776855
-10.0,3,97.779519
-10.0,3,97.782145
-10.0,3,97.784749
-10.0,3,97.787336
-10.0,3,97.789392
-10.0,3,97.791157
-10.0,3,111.350968
-10.0,3,111.352693
-10.0,3,111.354402
-10.0,3,111.356106
-10.0,3,111.357821
-10.0,3,111.359784
-10.0,3,111.362264
-10.0,3,111.364642
-10.0,3,111.367003
-10.0,3,111.369368
-10.0,4,124.913323
-10.0,4,124.916108
-10.0,4,124.918574
-10.0,4,124.921107
-10.0,4,124.923634
-10.0,4,124.925984
-10.0,4,124.928306
-10.0,4,124.930619
-10.0,4,124.932939
-10.0,4,124.935249
-10.0,3,139.685067
-10.0,3,139.687551
-10.0,3,139.690029
-10.0,3,139.692421
-10.0,3,139.694787
-10.0,3,139.697148
-10.0,3,139.699517
-10.0,3,139.705134
-10.0,3,139.707531
-10.0,3,139.709894
-10.0,4,153.57721
-10.0,4,153.579483
-10.0,4,153.581817
-10.0,4,153.584108
-10.0,4,153.586531
-10.0,4,153.588791
-10.0,4,153.591047
-10.0,4,153.59329
-10.0,4,153.59553
-10.0,4,153.597835
-10.0,3,167.250036
-10.0,3,167.251798
-10.0,3,167.253538
-10.0,3,167.25528
-10.0,3,167.257013
-10.0,3,167.258746
-10.0,3,167.260481
-10.0,3,167.262564
-10.0,3,167.266862
-10.0,3,167.268669
-10.0,3,181.026439
-10.0,3,181.028877
-10.0,3,181.031585
-10.0,3,181.034243
-10.0,3,181.036856
-10.0,3,181.03944
-10.0,3,181.041762
-10.0,3,181.044128
-10.0,3,181.046636
-10.0,3,181.04845
-10.0,3,196.146566
-10.0,3,196.148337
-10.0,3,196.150168
-10.0,3,196.151972
-10.0,3,196.153789
-10.0,3,196.156284
-10.0,3,196.161651
-10.0,3,196.163457
-10.0,3,196.165333
-10.0,3,196.167181
-10.0,3,212.227064
-10.0,3,212.2297
-10.0,3,212.23206
-10.0,3,212.233962
-10.0,3,212.236055
-10.0,3,212.238702
-10.0,3,212.241412
-10.0,3,212.244079
-10.0,3,212.246754
-10.0,3,212.248865
-10.0,3,226.160145
-10.0,3,226.16233
-10.0,3,226.164636
-10.0,3,226.166934
-10.0,3,226.169215
-10.0,3,226.171495
-10.0,3,226.173784
-10.0,3,226.176064
-10.0,3,226.178374
-10.0,3,226.180678
-10.0,3,240.084105
-10.0,3,240.085883
-10.0,3,240.087645
-10.0,3,240.089393
-10.0,3,240.092066
-10.0,3,240.094461
-10.0,3,240.096828
-10.0,3,240.099194
-10.0,3,240.10163
-10.0,3,240.103995
-10.0,3,254.882853
-10.0,3,254.884684
-10.0,3,254.886727
-10.0,3,254.888695
-10.0,3,254.890584
-10.0,3,254.892385
-10.0,3,254.894166
-10.0,3,254.895917
-10.0,3,254.897693
-10.0,3,254.899459
-10.0,5,268.761996
-10.0,5,268.764906
-10.0,5,268.76985
-10.0,5,268.772805
-10.0,5,268.775765
-10.0,5,268.778713
-10.0,5,268.781458
-10.0,5,268.785092
-10.0,5,268.789051
-10.0,5,268.792805
-10.0,3,283.159167
-10.0,3,283.161387
-10.0,3,283.163385
-10.0,3,283.165389
-10.0,3,283.167246
-10.0,3,283.1693
-10.0,3,283.171214
-10.0,3,283.172967
-10.0,3,283.174703
-10.0,3,283.17645
-10.0,7,297.0672
-10.0,7,297.072845
-10.0,7,297.078861
-10.0,7,297.084525
-10.0,7,297.089334
-10.0,7,297.093341
-10.0,7,297.098818
-10.0,7,297.104542
-10.0,7,297.110226
-10.0,7,297.116049
-10.0,7,311.578374
-10.0,7,311.582548
-10.0,7,311.586707
-10.0,7,311.591507
-10.0,7,311.597123
-10.0,7,311.602486
-10.0,7,311.607979
-10.0,7,311.613147
-10.0,7,311.617024
-10.0,7,311.620913
-10.0,7,325.333222
-10.0,7,325.337406
-10.0,7,325.34141
-10.0,7,325.345419
-10.0,7,325.349443
-10.0,7,325.353773
-10.0,7,325.357846
-10.0,7,325.361885
-10.0,7,325.36591
-10.0,7,325.370032
-10.0,8,339.43778
-10.0,8,339.442215
-10.0,8,339.44666
-10.0,8,339.451873
-10.0,8,339.456673
-10.0,8,339.461242
-10.0,8,339.46588
-10.0,8,339.471643
-10.0,8,339.477694
-10.0,8,339.486425
-10.0,3,353.969111
-10.0,3,353.971391
-10.0,3,353.973666
-10.0,3,353.975926
-10.0,3,353.978199
-10.0,3,353.980468
-10.0,3,353.982388
-10.0,3,353.984245
-10.0,3,353.986004
-10.0,3,353.987771
-10.0,3,367.819569
-10.0,3,367.821824
-10.0,3,367.824091
-10.0,3,367.826614
